nimi,probleem,detail
RIKU-LAPTOP,vana uuendus,525 päeva tagasi
MARI-DESKTOP,vana uuendus,1026 päeva tagasi
TOIVO-LAPTOP,vana uuendus,452 päeva tagasi
KATI-DESKTOP,vana uuendus,1229 päeva tagasi
SERVER-01,vana uuendus,447 päeva tagasi
JAAN-LAPTOP,vana uuendus,606 päeva tagasi
PIIA-DESKTOP,vana uuendus,1159 päeva tagasi
ANDRES-LAPTOP,vana uuendus,497 päeva tagasi
SERVER-02,vana uuendus,449 päeva tagasi
LEENI-DESKTOP,vana uuendus,943 päeva tagasi
RAIN-LAPTOP,vana uuendus,457 päeva tagasi
EVA-DESKTOP,vana uuendus,629 päeva tagasi
MARGO-LAPTOP,vana uuendus,1090 päeva tagasi
SANDER-DESKTOP,vana uuendus,554 päeva tagasi
LIIS-LAPTOP,vana uuendus,682 päeva tagasi
RIKU-LAPTOP,vähe kettaruumi,9.4% vaba
MARI-DESKTOP,vähe kettaruumi,4.7% vaba
KATI-DESKTOP,vähe kettaruumi,3.5% vaba
PIIA-DESKTOP,vähe kettaruumi,2.3% vaba
LEENI-DESKTOP,vähe kettaruumi,8.2% vaba
MARGO-LAPTOP,vähe kettaruumi,5.5% vaba
RIKU-LAPTOP,garantii lõppenud,2026-03-15
MARI-DESKTOP,garantii lõppenud,2024-12-01
KATI-DESKTOP,garantii lõppenud,2023-11-30
PIIA-DESKTOP,garantii lõppenud,2024-02-08
LEENI-DESKTOP,garantii lõppenud,2025-09-12
MARGO-LAPTOP,garantii lõppenud,2025-04-18
