nimi,probleem,detail
RIKU-LAPTOP,vana uuendus,519 päeva tagasi
MARI-DESKTOP,vana uuendus,1020 päeva tagasi
TOIVO-LAPTOP,vana uuendus,446 päeva tagasi
KATI-DESKTOP,vana uuendus,1223 päeva tagasi
SERVER-01,vana uuendus,441 päeva tagasi
JAAN-LAPTOP,vana uuendus,600 päeva tagasi
PIIA-DESKTOP,vana uuendus,1153 päeva tagasi
ANDRES-LAPTOP,vana uuendus,491 päeva tagasi
SERVER-02,vana uuendus,443 päeva tagasi
LEENI-DESKTOP,vana uuendus,937 päeva tagasi
RAIN-LAPTOP,vana uuendus,451 päeva tagasi
EVA-DESKTOP,vana uuendus,623 päeva tagasi
MARGO-LAPTOP,vana uuendus,1084 päeva tagasi
SANDER-DESKTOP,vana uuendus,548 päeva tagasi
LIIS-LAPTOP,vana uuendus,676 päeva tagasi
RIKU-LAPTOP,vähe kettaruumi,9.4% vaba
MARI-DESKTOP,vähe kettaruumi,4.7% vaba
KATI-DESKTOP,vähe kettaruumi,3.5% vaba
PIIA-DESKTOP,vähe kettaruumi,2.3% vaba
LEENI-DESKTOP,vähe kettaruumi,8.2% vaba
MARGO-LAPTOP,vähe kettaruumi,5.5% vaba
RIKU-LAPTOP,garantii lõppenud,2026-03-15
MARI-DESKTOP,garantii lõppenud,2024-12-01
KATI-DESKTOP,garantii lõppenud,2023-11-30
PIIA-DESKTOP,garantii lõppenud,2024-02-08
LEENI-DESKTOP,garantii lõppenud,2025-09-12
MARGO-LAPTOP,garantii lõppenud,2025-04-18
JAAN-LAPTOP,garantii lõpeb varsti,2026-08-14
EVA-DESKTOP,garantii lõpeb varsti,2026-07-22
SANDER-DESKTOP,garantii lõpeb varsti,2026-10-05
LIIS-LAPTOP,garantii lõpeb varsti,2026-05-30
MARI-DESKTOP,Windows 10,vajab uuendust Windows 11-le
KATI-DESKTOP,Windows 10,vajab uuendust Windows 11-le
PIIA-DESKTOP,Windows 10,vajab uuendust Windows 11-le
LEENI-DESKTOP,Windows 10,vajab uuendust Windows 11-le
MARGO-LAPTOP,Windows 10,vajab uuendust Windows 11-le
