nimi,probleem,detail
RIKU-LAPTOP,vana uuendus,532 päeva tagasi
MARI-DESKTOP,vana uuendus,1033 päeva tagasi
TOIVO-LAPTOP,vana uuendus,459 päeva tagasi
KATI-DESKTOP,vana uuendus,1236 päeva tagasi
SERVER-01,vana uuendus,454 päeva tagasi
JAAN-LAPTOP,vana uuendus,613 päeva tagasi
PIIA-DESKTOP,vana uuendus,1166 päeva tagasi
ANDRES-LAPTOP,vana uuendus,504 päeva tagasi
SERVER-02,vana uuendus,456 päeva tagasi
LEENI-DESKTOP,vana uuendus,950 päeva tagasi
RAIN-LAPTOP,vana uuendus,464 päeva tagasi
EVA-DESKTOP,vana uuendus,636 päeva tagasi
MARGO-LAPTOP,vana uuendus,1097 päeva tagasi
SANDER-DESKTOP,vana uuendus,561 päeva tagasi
LIIS-LAPTOP,vana uuendus,689 päeva tagasi
RIKU-LAPTOP,vähe kettaruumi,9.4% vaba
MARI-DESKTOP,vähe kettaruumi,4.7% vaba
KATI-DESKTOP,vähe kettaruumi,3.5% vaba
PIIA-DESKTOP,vähe kettaruumi,2.3% vaba
LEENI-DESKTOP,vähe kettaruumi,8.2% vaba
MARGO-LAPTOP,vähe kettaruumi,5.5% vaba
RIKU-LAPTOP,garantii lõppenud,2026-03-15
MARI-DESKTOP,garantii lõppenud,2024-12-01
KATI-DESKTOP,garantii lõppenud,2023-11-30
PIIA-DESKTOP,garantii lõppenud,2024-02-08
LEENI-DESKTOP,garantii lõppenud,2025-09-12
MARGO-LAPTOP,garantii lõppenud,2025-04-18
