Tee,Nimi,Suurus
/home/pavel/.vscode-server/bin/0958016b2af9f09bb4257e0df4a95e2f90590f9f/node,node,118.90 MB
/home/pavel/.vscode-server/extensions/ms-python.vscode-python-envs-1.30.0-linux-x64/python-env-tools/bin/pet,pet,33.20 MB
/home/pavel/.vscode-server/extensions/ms-python.python-2026.4.0-linux-x64/python-env-tools/bin/pet,pet,32.74 MB
/home/pavel/.vscode-server/data/CachedExtensionVSIXs/ms-python.vscode-pylance-2026.2.1,ms-python.vscode-pylance-2026.2.1,26.25 MB
/home/pavel/.vscode-server/extensions/github.copilot-chat-0.48.1/dist/extension.js,extension.js,19.62 MB
/home/pavel/.vscode-server/bin/0958016b2af9f09bb4257e0df4a95e2f90590f9f/extensions/copilot/dist/extension.js,extension.js,19.62 MB
/home/pavel/.vscode-server/data/CachedExtensionVSIXs/github.copilot-chat-0.48.1,github.copilot-chat-0.48.1,19.40 MB
/home/pavel/.vscode-server/data/CachedExtensionVSIXs/ms-python.python-2026.4.0-linux-x64,ms-python.python-2026.4.0-linux-x64,17.00 MB
/home/pavel/.vscode-server/bin/0958016b2af9f09bb4257e0df4a95e2f90590f9f/node_modules/@vscode/vsce-sign/bin/vsce-sign,vsce-sign,16.24 MB
/home/pavel/.vscode-server/bin/0958016b2af9f09bb4257e0df4a95e2f90590f9f/node_modules/@github/copilot/app.js,app.js,13.33 MB
