Tee,Nimi,Suurus
C:\Users\janan\OneDrive\Forets Rock\C0002.MP4,C0002.MP4,19.0 GB
C:\Users\janan\OneDrive\TKG FEST\NINJAV_S001_S001_T013.MOV,NINJAV_S001_S001_T013.MOV,13.4 GB
C:\Users\janan\OneDrive\TKG FEST\NINJAV_S001_S001_T135.MOV,NINJAV_S001_S001_T135.MOV,12.4 GB
C:\Users\janan\OneDrive\Rets 2024\dfhji.MP4,dfhji.MP4,12.4 GB
C:\Users\janan\OneDrive\Forets Rock\A001_07262117_C006.mov,A001_07262117_C006.mov,12.3 GB
C:\Users\janan\OneDrive\WESPER MEDIA\Lisa\lisa lisa\NINJAV_S001_S001_T033.MOV,NINJAV_S001_S001_T033.MOV,10.5 GB
C:\Users\janan\OneDrive\OneDOKUMENDID\TKG\PLAYBOX 25\Valmis playbox.zip,Valmis playbox.zip,8.9 GB
C:\Users\janan\AppData\Local\Packages\Claude_pzs8sxrjxfjjc\LocalCache\Roaming\Claude\vm_bundles\claudevm.bundle\rootfs.vhdx,rootfs.vhdx,8.8 GB
C:\Users\janan\AppData\Local\Docker\wsl\disk\docker_data.vhdx,docker_data.vhdx,7.8 GB
C:\Users\janan\OneDrive\TKG FEST\NINJAV_S001_S001_T122.MOV,NINJAV_S001_S001_T122.MOV,7.7 GB
