Tee,Nimi,Suurus
C:\Users\Fernando\Downloads\Unlocker.rar,Unlocker.rar,2.7 GB
C:\Users\Fernando\AppData\Local\NVIDIA\DXCache\c1f8a9394adc5fef.nvph,c1f8a9394adc5fef.nvph,1.0 GB
C:\Users\Fernando\AppData\Local\NVIDIA\DXCache\c1f8a939ed0cbbf9.nvph,c1f8a939ed0cbbf9.nvph,1.0 GB
C:\Users\Fernando\AppData\Local\NVIDIA\DXCache\c1f8a939efac14d8.nvph,c1f8a939efac14d8.nvph,1.0 GB
C:\Users\Fernando\AppData\Roaming\ArmchairDevelopers\Kyber\Mods\battlefront-plus-100-beta115f-jzsszpxy\New_Appearances_Heroes.fbmod,New_Appearances_Heroes.fbmod,659.1 MB
C:\Users\Fernando\AppData\Local\NVIDIA\DXCache\c1f8a93900776511.nvph,c1f8a93900776511.nvph,512.0 MB
C:\Users\Fernando\AppData\Local\NVIDIA\DXCache\c1f8a9397b20be82.nvph,c1f8a9397b20be82.nvph,512.0 MB
C:\Users\Fernando\AppData\Local\NVIDIA\DXCache\c1f8a93985fefd81.nvph,c1f8a93985fefd81.nvph,512.0 MB
C:\Users\Fernando\AppData\Local\NVIDIA\DXCache\c1f8a9399d982192.nvph,c1f8a9399d982192.nvph,512.0 MB
C:\Users\Fernando\AppData\Roaming\ArmchairDevelopers\Kyber\Mods\battlefront-plus-100-beta115f-jzsszpxy\BGR_Troopers.fbmod,BGR_Troopers.fbmod,435.2 MB
C:\Users\Fernando\Documents\Paradox Interactive\Hearts of Iron IV\mod\ep_enclave\texture.vmf,texture.vmf,355.4 MB
C:\Users\Fernando\AppData\Roaming\Vortex\downloads\falloutnv\EVE v1.19-42666-1-19-1623957051.zip,EVE v1.19-42666-1-19-1623957051.zip,349.4 MB
C:\Users\Fernando\Documents\My Games\Oblivion Remastered\Saved\D3DDriverByteCodeBlob_V4318_D10245_S1366496354_R161.ushaderprecache,D3DDriverByteCodeBlob_V4318_D10245_S1366496354_R161.ushaderprecache,344.0 MB
C:\Users\Fernando\AppData\Roaming\Vortex\downloads\falloutnv\For The Enclave 4-0-39531-4-0.zip,For The Enclave 4-0-39531-4-0.zip,333.0 MB
C:\Users\Fernando\AppData\Local\vortex-updater\installer.exe,installer.exe,310.6 MB
