Tee,Nimi,Suurus
/home/kaspar/.wine/drive_c/Program Files (x86)/World of Warcraft/Data/data/data.003,data.003,1024.0 MB
/home/kaspar/.wine/drive_c/Program Files (x86)/World of Warcraft/Data/data/data.001,data.001,1024.0 MB
/home/kaspar/.wine/drive_c/Program Files (x86)/World of Warcraft/Data/data/data.006,data.006,1024.0 MB
/home/kaspar/.wine/drive_c/Program Files (x86)/World of Warcraft/Data/data/data.005,data.005,1024.0 MB
/home/kaspar/.wine/drive_c/Program Files (x86)/World of Warcraft/Data/data/data.002,data.002,1023.9 MB
/home/kaspar/.wine/drive_c/Program Files (x86)/World of Warcraft/Data/data/data.000,data.000,1023.3 MB
/home/kaspar/.wine/drive_c/Program Files (x86)/World of Warcraft/Data/data/data.004,data.004,1020.9 MB
/home/kaspar/.cache/nvidia/GLCache/95a1ab41287168c73f24148190c4e2cf/adcbf9577265813a/9a211512cc67114a.bin,9a211512cc67114a.bin,479.4 MB
/home/kaspar/.local/share/Steam/steamapps/common/Terraria/Content/Wave Bank.xwb,Wave Bank.xwb,472.8 MB
/home/kaspar/.local/share/Steam/steamapps/common/Backpack Battles/BackpackBattles.pck,BackpackBattles.pck,284.4 MB
