Tee,Nimi,Suurus
C:\Users\Martin\AppData\Local\Packages\Clipchamp.Clipchamp_yxz26nhyzhsrt\LocalState\EBWebView\Default\IndexedDB\https_app.clipchamp.com_0.indexeddb.blob\3\00\3,3,21.3 GB
C:\Users\Martin\VirtualBox VMs\Debian11\Debian11-disk001.vdi,Debian11-disk001.vdi,10.2 GB
C:\Users\Martin\VirtualBox VMs\Debian11_SMTP_SRV\Debian11-disk001.vdi,Debian11-disk001.vdi,10.2 GB
C:\Users\Martin\Videos\Beebi Boss.mp4,Beebi Boss.mp4,8.8 GB
C:\Users\Martin\VirtualBox VMs\windows 7 64\win7-sysprep-disk1.vdi,win7-sysprep-disk1.vdi,7.9 GB
C:\Users\Martin\Downloads\Debian11.ova,Debian11.ova,4.2 GB
C:\Users\Martin\VirtualBox VMs\centreon-vbox-vm-24_10-1.deb12\export-i-51630a6d26d68bc7t-disk-1.vdi,export-i-51630a6d26d68bc7t-disk-1.vdi,4.0 GB
C:\Users\Martin\AppData\Local\Google\Chrome\User Data\OptGuideOnDeviceModel\2025.8.11.1\weights.bin,weights.bin,4.0 GB
C:\Users\Martin\Videos\League of Legends_08-22-2024_14-5-45-475\League of Legends_08-22-2024_14-44-45-885.mp4,League of Legends_08-22-2024_14-44-45-885.mp4,3.4 GB
C:\Users\Martin\Downloads\win7-sysprep.ova,win7-sysprep.ova,3.2 GB
