Tee,Nimi,Suurus
C:\Users\sander\VirtualBox VMs\Win11-client\Win11-client.vdi,Win11-client.vdi,20.6 GB
C:\Users\sander\OneDrive - Tallinn Polytechnic School\Hyper-V\SanderL-Windows10Pro\Virtual Hard Disks\SanderL-Windows10Pro_5E49BD9E-8CDA-4FCA-A673-2CDE20B1D674.avhdx,SanderL-Windows10Pro_5E49BD9E-8CDA-4FCA-A673-2CDE20B1D674.avhdx,20.2 GB
C:\Users\sander\VirtualBox VMs\AD-Server\AD-Server.vdi,AD-Server.vdi,17.3 GB
C:\Users\sander\OneDrive - Tallinn Polytechnic School\Hyper-V\Sander-VirtualServer\Virtual Hard Disks\Sander-VirtualServer_8B3A548F-BA2A-4A33-83BB-10EA63DFE297.avhdx,Sander-VirtualServer_8B3A548F-BA2A-4A33-83BB-10EA63DFE297.avhdx,12.3 GB
C:\Users\sander\Desktop\ISO\Win11_25H2_English_x64_v2.iso,Win11_25H2_English_x64_v2.iso,7.9 GB
C:\Users\sander\Desktop\ISO\26100.32230.260111-0550.lt_release_svc_refresh_SERVER_EVAL_x64FRE_en-us.iso,26100.32230.260111-0550.lt_release_svc_refresh_SERVER_EVAL_x64FRE_en-us.iso,7.6 GB
C:\Users\sander\OneDrive - Tallinn Polytechnic School\Hyper-V\SW_DVD9_Win_Pro_10_22H2.22_64BIT_Eng_Intl_Pro_Ent_EDU_N_MLF_X23-80694.ISO,SW_DVD9_Win_Pro_10_22H2.22_64BIT_Eng_Intl_Pro_Ent_EDU_N_MLF_X23-80694.ISO,6.5 GB
C:\Users\sander\OneDrive - Tallinn Polytechnic School\Hyper-V\SW_DVD9_Win_Server_STD_CORE_2022_2108.36_64Bit_English_DC_STD_MLF_X23-80100.ISO,SW_DVD9_Win_Server_STD_CORE_2022_2108.36_64Bit_English_DC_STD_MLF_X23-80100.ISO,5.6 GB
C:\Users\sander\OneDrive - Tallinn Polytechnic School\Hyper-V\SW_DVD9_Win_Pro_11_22H2.1_64BIT_English_Pro_Ent_EDU_N_MLF_X23-27794.ISO,SW_DVD9_Win_Pro_11_22H2.1_64BIT_English_Pro_Ent_EDU_N_MLF_X23-27794.ISO,5.1 GB
C:\Users\sander\OneDrive - Tallinn Polytechnic School\Kaasan\windows10-kodulehelt.iso,windows10-kodulehelt.iso,4.6 GB
