Faili nimi,Täis tee,Suurus baitides,Loetav suurus
Deb12NoGui-disk001.vdi,C:\Users\SiimA\VirtualBox VMs\Deb12NG -SMTP- SRV\Deb12NoGui-disk001.vdi,4600102912,4.28 GB
export-i-51630a6d26d68bc7t-disk-1.vdi,C:\Users\SiimA\VirtualBox VMs\export-i-51630a6d26d68bc7t\export-i-51630a6d26d68bc7t-disk-1.vdi,4580179968,4.27 GB
Deb12NoGui-disk001.vdi,C:\Users\SiimA\VirtualBox VMs\Deb12NG-SMTP-TEST\Deb12NoGui-disk001.vdi,4545576960,4.23 GB
Deb12NoGui-disk001.vdi,C:\Users\SiimA\VirtualBox VMs\Deb12NoGui 3\Deb12NoGui-disk001.vdi,4390387712,4.09 GB
Deb12NoGui-disk001.vdi,C:\Users\SiimA\VirtualBox VMs\Deb12NoGui 4\Deb12NoGui-disk001.vdi,4316987392,4.02 GB
export-i-51630a6d26d68bc7t-disk-1.vdi,C:\Users\SiimA\VirtualBox VMs\Centreon\export-i-51630a6d26d68bc7t-disk-1.vdi,4238344192,3.95 GB
ext4.vhdx,C:\Users\SiimA\AppData\Local\wsl\{162f67dc-47a0-401f-9624-d9a624639f87}\ext4.vhdx,2408579072,2.24 GB
docker_data.vhdx,C:\Users\SiimA\AppData\Local\Docker\wsl\disk\docker_data.vhdx,1599078400,1.49 GB
8627db40.3c44a7db.7deb3888.7b7586e5.0.parc,C:\Users\SiimA\AppData\Local\AMD\DxcCache\8627db40.3c44a7db.7deb3888.7b7586e5.0.parc,738197504,704.00 MB
2,C:\Users\SiimA\AppData\Local\Packages\Clipchamp.Clipchamp_yxz26nhyzhsrt\LocalState\EBWebView\Default\IndexedDB\https_app.clipchamp.com_0.indexeddb.blob\2\00\2,534827544,510.05 MB
