"Tee","Nimi","Suurus"
"/home/kaspar/Desktop/TPT/Veeremaa - Cisco/Packet_Tracer822_64bit_setup_signed.exe","Packet_Tracer822_64bit_setup_signed.exe","227.9 MB"
"/home/kaspar/Desktop/aussi dokumendid/IMG_2858.MOV","IMG_2858.MOV","148.2 MB"
"/home/kaspar/Downloads/curseforge-latest-linux.AppImage","curseforge-latest-linux.AppImage","131.9 MB"
"/home/kaspar/Downloads/teams-for-linux-2.7.12-arm64.AppImage","teams-for-linux-2.7.12-arm64.AppImage","125.9 MB"
"/home/kaspar/Downloads/discord-0.0.120.tar.gz","discord-0.0.120.tar.gz","103.6 MB"
"/home/kaspar/Downloads/discord-0.0.119.tar.gz","discord-0.0.119.tar.gz","103.6 MB"
"/home/kaspar/Desktop/TPT/codeblocks/MinGW/libexec/gcc/mingw32/5.1.0/cc1plus.exe","cc1plus.exe","15.5 MB"
"/home/kaspar/Desktop/TPT/codeblocks/MinGW/libexec/gcc/mingw32/5.1.0/cc1.exe","cc1.exe","14.6 MB"
"/home/kaspar/Desktop/TPT/codeblocks/MinGW/libexec/gcc/mingw32/5.1.0/lto1.exe","lto1.exe","14.0 MB"
"/home/kaspar/testprefix/drive_c/windows/system32/winedbg.exe","winedbg.exe","13.8 MB"
