"Tee","Nimi","Suurus"
"C:\Users\Martin\VirtualBox VMs\Debian11\Debian11-disk001.vdi","Debian11-disk001.vdi","10909384704"
"C:\Users\Martin\VirtualBox VMs\Debian11_SMTP_SRV\Debian11-disk001.vdi","Debian11-disk001.vdi","10899947520"
"C:\Users\Martin\Videos\Beebi Boss.mp4","Beebi Boss.mp4","9456455434"
"C:\Users\Martin\VirtualBox VMs\windows 7 64\win7-sysprep-disk1.vdi","win7-sysprep-disk1.vdi","8441036800"
"C:\Users\Martin\Downloads\Debian11.ova","Debian11.ova","4493096960"
"C:\Users\Martin\VirtualBox VMs\centreon-vbox-vm-24_10-1.deb12\export-i-51630a6d26d68bc7t-disk-1.vdi","export-i-51630a6d26d68bc7t-disk-1.vdi","4326424576"
"C:\Users\Martin\Videos\League of Legends_08-22-2024_14-5-45-475\League of Legends_08-22-2024_14-44-45-885.mp4","League of Legends_08-22-2024_14-44-45-885.mp4","3641428991"
"C:\Users\Martin\Downloads\win7-sysprep.ova","win7-sysprep.ova","3487840768"
"C:\Users\Martin\Videos\League of Legends_09-06-2023_18-1-21-778\League of Legends_09-06-2023_18-35-55-25.mp4","League of Legends_09-06-2023_18-35-55-25.mp4","3145244401"
"C:\Users\Martin\Downloads\centreon-vbox-vm-24_10-1.deb12\24.10.deb12.standard-1732293179.ova","24.10.deb12.standard-1732293179.ova","1657057280"
