"Tee","Nimi","Suurus"
"/home/pavel/skriptimisvahendid/04 Powershell suured failid/tulemused/Juri_P/discord-jp.png","discord-jp.png","192.2 KB"
"/home/pavel/skriptimisvahendid/04 Powershell suured failid/tulemused/Aleksandr_Z/Discord_tulemus.png","Discord_tulemus.png","90.7 KB"
"/home/pavel/skriptimisvahendid/04 Powershell suured failid/tulemused/Aleksandr_Z/DiscordID.png","DiscordID.png","26.9 KB"
"/home/pavel/skriptimisvahendid/04 Powershell suured failid/Teavituste moodul.md","Teavituste moodul.md","16.5 KB"
"/home/pavel/skriptimisvahendid/04 Powershell suured failid/NAIDIS/ID kaardi tarkvara.md","ID kaardi tarkvara.md","16.0 KB"
"/home/pavel/skriptimisvahendid/04 Powershell suured failid/tulemused/Siim-Artur_S/image.png","image.png","13.6 KB"
"/home/pavel/skriptimisvahendid/tulemused/Mark_L/ansible_reflektsioon.md","ansible_reflektsioon.md","12.6 KB"
"/home/pavel/skriptimisvahendid/06 - ansible/Tulemused/Aivar-T/ansible_reflektsioon.md","ansible_reflektsioon.md","10.6 KB"
"/home/pavel/skriptimisvahendid/05 projekt/D_susteemi_inventuur.md","D_susteemi_inventuur.md","10.5 KB"
"/home/pavel/skriptimisvahendid/05 projekt/A_logianaluus.md","A_logianaluus.md","10.4 KB"
