"Tee","Nimi","Suurus","Muudetud"
"C:\Program Files (x86)\Steam\steamapps\common\Schedule I\Schedule I_Data\sharedassets0.assets.resS","sharedassets0.assets.resS","3.3 GB","2026-04-17 16:03:17"
"C:\Program Files (x86)\Steam\steamapps\common\Schedule I\Schedule I_Data\sharedassets1.assets.resS","sharedassets1.assets.resS","1.9 GB","2026-04-17 16:03:17"
"C:\Program Files (x86)\Steam\steamapps\common\Arma 3\Expansion\Addons\structures_f_exp_data.pbo","structures_f_exp_data.pbo","1.2 GB","2026-01-10 21:50:10"
"C:\Program Files (x86)\Steam\steamapps\common\Arma 3\Enoch\Addons\structures_f_enoch_data.pbo","structures_f_enoch_data.pbo","1.2 GB","2026-01-10 21:50:10"
"C:\Program Files (x86)\Steam\steamapps\common\Arma 3\Argo\Addons\structures_f_argo.pbo","structures_f_argo.pbo","1.1 GB","2026-01-10 21:50:10"
"C:\Program Files (x86)\Steam\steamapps\common\Arma 3\Addons\structures_f.pbo","structures_f.pbo","918.7 MB","2026-01-10 21:50:10"
"C:\Program Files (x86)\Steam\steamapps\common\Arma 3\Expansion\Addons\missions_f_exp_video.pbo","missions_f_exp_video.pbo","803.1 MB","2026-01-10 21:50:10"
"C:\Program Files (x86)\Steam\steamapps\common\Arma 3\Addons\sounds_f.pbo","sounds_f.pbo","722.2 MB","2026-01-10 21:50:10"
"C:\Program Files (x86)\Steam\steamapps\common\Old Market Simulator\Old Market Simulator_Data\sharedassets0.assets.resS","sharedassets0.assets.resS","717.3 MB","2025-12-06 22:59:22"
"C:\Program Files (x86)\Steam\steamapps\common\Arma 3\Enoch\Addons\sounds_f_enoch.pbo","sounds_f_enoch.pbo","714.5 MB","2026-01-10 21:50:10"
